dado1,dado2,dado3,dado4,dado5,dado6,dado7,dado8,dado9,dado10,dado11,dado12,dado13,dado14,dado15,dado16,dado17,dado18,dado19,dado20,dado21,dado22,dado23,dado24,dado25,dado26,dado27,dado28,dado29,dado30,dado31,dado32,dado33,dado34,dado35,dado36,dado37,dado38,dado39,dado40,dado41,dado42,dado43,dado44,dado45,dado46,dado47,dado48,dado49,dado50,dado51,dado52,dado53,dado54,dado55,dado56,dado57,dado58,dado59,dado60
24,20,29,28,31,28,23,27,27,34,26,19,32,23,25,17,21,18,17,14,22,27,24,24,0,20,21,27,20,31,20,28,28,24,16,22,23,25,25,15,33,29,33,23,28,22,22,22,26,22,26,22,27,19,17,21,29,20,16,23
22,15,11,19,17,19,18,16,14,17,22,18,30,25,14,17,21,16,17,21,20,15,22,25,20,0,19,28,21,17,24,21,17,20,28,20,17,23,26,21,17,25,18,15,24,22,15,19,30,16,25,22,23,33,16,14,16,18,12,17
21,27,27,32,38,17,23,28,12,31,33,23,30,14,19,29,27,17,19,29,21,18,24,17,21,19,0,27,21,26,15,25,22,17,29,28,23,27,19,32,32,28,24,28,29,33,24,24,29,27,26,31,30,17,22,28,28,24,34,20
27,29,20,28,23,35,17,25,17,35,22,23,17,25,21,27,27,16,25,27,21,25,28,22,27,28,27,0,25,25,25,33,28,27,23,21,21,29,17,20,27,22,30,24,32,23,23,29,22,26,32,21,26,24,26,24,23,25,22,21
17,20,23,34,21,23,24,19,18,26,17,19,33,32,20,20,23,24,26,19,25,33,30,17,20,21,21,25,0,24,25,23,15,26,30,32,21,33,19,19,24,28,32,31,26,17,30,25,26,27,22,23,20,25,18,22,24,19,30,24
20,27,14,32,25,22,24,32,24,28,32,26,22,31,27,23,28,34,23,26,20,28,36,19,31,17,26,25,24,0,23,29,28,24,34,25,29,25,23,20,26,24,20,24,22,28,29,21,21,24,20,32,23,25,20,23,24,20,28,25
17,16,17,22,21,21,25,18,20,24,18,22,27,21,22,19,20,33,19,21,18,21,24,16,20,24,15,25,25,23,0,21,30,31,20,21,23,24,20,15,20,32,24,23,25,29,20,15,27,22,30,18,25,24,17,23,27,23,16,16
23,32,26,21,30,17,28,31,28,31,21,34,24,26,19,27,29,20,15,30,19,23,28,26,28,21,25,33,23,29,21,0,35,29,32,24,24,32,15,33,21,24,24,20,21,27,26,31,30,27,24,19,25,25,21,22,24,21,22,24
27,18,19,26,38,30,23,31,26,40,30,29,32,29,23,24,30,25,26,25,18,18,27,33,28,17,22,28,15,28,30,35,0,27,27,30,18,30,24,28,27,33,31,18,22,24,14,32,28,21,26,26,26,19,28,25,23,21,25,27
24,29,25,25,30,38,23,30,24,36,22,25,22,23,26,34,29,26,30,27,23,21,27,27,24,20,17,27,26,24,31,29,27,0,22,20,31,23,21,27,25,29,29,28,32,22,25,21,26,24,29,20,30,29,22,26,28,19,21,25
20,35,27,20,30,29,27,16,25,31,29,22,28,30,24,32,29,20,27,21,23,22,27,21,16,28,29,23,30,34,20,32,27,22,0,28,26,28,32,29,27,26,30,25,28,20,19,23,27,25,22,23,23,19,20,24,26,19,26,19
24,21,25,27,24,22,19,31,27,29,29,20,20,31,20,26,22,19,15,25,26,21,27,24,22,20,28,21,32,25,21,24,30,20,28,0,23,27,17,20,23,28,17,35,19,20,17,26,23,18,26,29,38,25,28,22,13,21,27,28
32,24,26,26,27,29,24,27,27,31,34,34,20,18,22,30,30,26,29,29,19,22,27,17,23,17,23,21,21,29,23,24,18,31,26,23,0,30,31,25,26,23,33,29,22,23,27,24,24,27,29,17,27,31,18,30,22,30,24,29
21,23,19,34,26,22,28,27,19,30,20,20,20,28,22,33,27,22,15,25,30,25,28,30,25,23,27,29,33,25,24,32,30,23,28,27,30,0,20,18,27,21,20,24,30,19,21,29,29,33,24,23,39,23,23,26,21,17,24,24
21,16,16,26,28,26,30,26,26,22,29,20,22,25,23,26,27,29,28,16,13,15,26,24,25,26,19,17,19,23,20,15,24,21,32,17,31,20,0,13,23,13,29,23,26,22,20,20,28,21,23,26,19,21,17,25,26,24,19,28
20,14,24,21,23,25,21,20,17,25,28,21,24,19,17,15,29,16,20,32,20,18,11,23,15,21,32,20,19,20,15,33,28,27,29,20,25,18,13,0,28,31,18,31,23,20,22,18,23,24,27,30,16,23,24,20,19,31,22,22
20,23,19,21,23,26,30,20,36,28,27,25,34,22,24,22,26,20,29,30,14,28,28,23,33,17,32,27,24,26,20,21,27,25,27,23,26,27,23,28,0,33,16,26,22,25,23,24,31,19,19,21,37,28,23,25,20,38,26,20
22,22,27,21,27,18,22,26,28,31,22,20,32,23,27,31,29,28,21,28,17,23,26,31,29,25,28,22,28,24,32,24,33,29,26,28,23,21,13,31,33,0,21,32,23,24,32,27,34,22,26,22,19,29,20,23,17,24,32,17
23,29,26,24,26,25,27,31,25,31,28,22,25,20,21,25,27,25,22,29,19,24,19,25,33,18,24,30,32,20,24,24,31,29,30,17,33,20,29,18,16,21,0,25,22,25,20,21,23,23,20,27,31,33,28,32,32,22,24,20
30,22,23,33,26,20,24,28,26,26,21,29,21,26,11,27,25,27,31,24,15,24,23,28,23,15,28,24,31,24,23,20,18,28,25,35,29,24,23,31,26,32,25,0,20,30,28,24,23,25,27,21,26,33,31,30,27,20,19,32
29,23,23,28,20,26,25,23,25,28,23,27,21,22,25,31,23,19,19,23,10,11,23,25,28,24,29,32,26,22,25,21,22,32,28,19,22,30,26,23,22,23,22,20,0,23,16,19,21,19,20,20,32,24,21,33,25,22,26,21
