dado1,dado2,dado3,dado4,dado5,dado6,dado7,dado8,dado9,dado10,dado11,dado12,dado13,dado14,dado15,dado16,dado17,dado18,dado19,dado20,dado21,dado22,dado23,dado24,dado25,dado26,dado27,dado28,dado29,dado30,dado31,dado32,dado33,dado34,dado35,dado36,dado37,dado38,dado39,dado40,dado41,dado42,dado43,dado44,dado45,dado46,dado47,dado48,dado49,dado50,dado51,dado52,dado53,dado54,dado55,dado56,dado57,dado58,dado59,dado60
27,26,24,29,28,34,29,32,36,34,33,29,35,27,26,28,28,20,29,17,26,24,22,21,38,26,22,32,22,27,29,31,38,31,23,30,28,32,25,23,28,35,38,28,29,34,26,20,26,22,25,19,33,33,26,34,32,24,29,24
22,23,21,16,39,33,17,27,18,20,21,23,22,20,19,12,23,19,28,25,21,24,26,21,30,10,38,19,22,30,20,21,29,21,31,20,28,25,26,29,32,16,30,28,17,34,25,20,17,22,16,25,29,18,15,22,24,18,31,26
25,39,18,35,24,23,31,20,30,31,34,24,25,33,24,29,44,29,23,27,19,19,21,27,36,26,25,28,28,32,29,33,33,32,40,29,35,36,26,30,26,32,23,29,20,34,32,32,31,36,31,33,35,27,17,38,28,37,34,31
27,36,25,22,32,34,32,32,37,29,28,29,32,23,21,28,32,24,24,32,21,31,26,29,42,17,29,22,26,34,26,27,39,30,51,38,27,31,31,21,29,26,30,20,29,26,21,33,35,42,26,31,38,30,22,24,35,23,29,26
25,25,29,32,32,29,28,32,30,35,39,26,31,33,19,30,30,26,24,29,33,19,27,27,34,23,28,26,28,18,32,32,28,26,22,26,28,38,27,28,30,31,40,39,32,32,21,26,27,23,26,29,26,34,21,29,23,21,23,25
36,31,28,27,31,40,37,28,26,40,37,32,34,23,22,31,26,29,23,31,18,29,28,29,28,21,27,27,34,25,27,26,29,35,21,27,34,35,31,24,26,40,34,27,30,32,35,38,34,25,25,23,27,38,22,30,32,28,33,30
26,22,26,29,27,24,17,32,26,30,35,23,20,23,28,29,33,28,19,35,20,21,29,28,23,20,31,25,25,27,25,24,28,20,30,23,27,25,24,34,24,26,25,33,25,30,22,23,25,33,23,26,25,25,24,23,27,25,24,25
18,23,23,27,30,35,32,31,21,35,30,28,24,33,32,31,31,27,36,33,27,31,34,40,32,27,26,27,33,30,19,32,33,37,28,23,32,29,34,26,38,38,33,26,22,30,23,30,31,30,32,31,38,31,26,32,29,25,33,30
29,35,21,31,37,27,27,25,22,30,39,36,37,36,32,41,29,27,23,24,28,26,39,33,27,28,26,32,26,29,32,29,37,37,28,23,41,34,33,27,29,32,34,21,38,33,28,35,40,32,38,34,36,22,21,27,31,28,24,24
33,26,31,39,37,32,20,23,27,27,34,19,33,33,26,34,27,26,31,36,25,36,34,23,33,24,41,29,35,31,19,36,31,27,46,37,50,33,24,27,32,35,37,36,27,30,27,22,33,28,33,31,29,30,20,31,28,32,29,25
